Time,Manifold_Absolute_Pressure,Engine_Speed,Mass_Air_Flow,Front_O2_Sensor_No1,Rear_O2_Sensor,Fuel_Injection_No1_Pulse_Width,Fuel_Injection_No2_Pulse_Width
0.0,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.104,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.187,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.27,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.353,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.436,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.519,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.603,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.686,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.769,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.853,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
0.936,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.019,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.103,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.186,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.269,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.353,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.436,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.518,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.601,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.684,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.768,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.851,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
1.934,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
2.016,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
2.099,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
2.182,0.52,16136.25,286.82,200.98,128.0,15.616,32.512
