Time,AirFuel_Correction_No2,Vehicle_Speed,Intake_Air_Temperature,Throttle_Opening_Angle,Front_O2_Sensor_No2,Air_Flow_Sensor_Voltage
0.0,-60.156,33,212,3.922,5.68,3.14
0.089,-60.156,33,212,3.922,5.68,3.14
0.124,-60.156,33,212,3.922,5.68,3.14
0.148,-60.156,33,212,3.922,5.68,3.14
0.206,-60.156,33,212,3.922,5.68,3.14
0.264,-60.156,33,212,3.922,5.68,3.14
0.322,-60.156,33,212,3.922,5.68,3.14
0.38,-60.156,33,212,3.922,5.68,3.14
0.438,-60.156,33,212,3.922,5.68,3.14
0.496,-60.156,33,212,3.922,5.68,3.14
0.555,-60.156,33,212,3.922,5.68,3.14
0.613,-60.156,33,212,3.922,5.68,3.14
0.671,-60.156,33,212,3.922,5.68,3.14
0.729,-60.156,33,212,3.922,5.68,3.14
0.788,-60.156,33,212,3.922,5.68,3.14
0.846,-60.156,33,212,3.922,5.68,3.14
0.904,-60.156,33,212,3.922,5.68,3.14
0.962,-60.156,33,212,3.922,5.68,3.14
1.021,-60.156,33,212,3.922,5.68,3.14
1.078,-60.156,33,212,3.922,5.68,3.14
1.137,-60.156,33,212,3.922,5.68,3.14
1.194,-60.156,33,212,3.922,5.68,3.14
1.253,-60.156,33,212,3.922,5.68,3.14
1.311,-60.156,33,212,3.922,5.68,3.14
1.369,-60.156,33,212,3.922,5.68,3.14
1.428,-60.156,33,212,3.922,5.68,3.14
1.486,-60.156,33,212,3.922,5.68,3.14
1.543,-60.156,33,212,3.922,5.68,3.14
1.602,-60.156,33,212,3.922,5.68,3.14
1.66,-60.156,33,212,3.922,5.68,3.14
1.718,-60.156,33,212,3.922,5.68,3.14
1.775,-60.156,33,212,3.922,5.68,3.14
1.834,-60.156,33,212,3.922,5.68,3.14
1.892,-60.156,33,212,3.922,5.68,3.14
1.95,-60.156,33,212,3.922,5.68,3.14
2.008,-60.156,33,212,3.922,5.68,3.14
2.066,-60.156,33,212,3.922,5.68,3.14
2.123,-60.156,33,212,3.922,5.68,3.14
2.182,-60.156,33,212,3.922,5.68,3.14
2.24,-60.156,33,212,3.922,5.68,3.14
2.298,-60.156,33,212,3.922,5.68,3.14
2.356,-60.156,33,212,3.922,5.68,3.14
2.413,-60.156,33,212,3.922,5.68,3.14
2.472,-60.156,33,212,3.922,5.68,3.14
2.53,-60.156,33,212,3.922,5.68,3.14
2.588,-60.156,33,212,3.922,5.68,3.14
2.647,-60.156,33,212,3.922,5.68,3.14
2.705,-60.156,33,212,3.922,5.68,3.14
2.763,-60.156,33,212,3.922,5.68,3.14
2.822,-60.156,33,212,3.922,5.68,3.14
2.88,-60.156,33,212,3.922,5.68,3.14
2.937,-60.156,33,212,3.922,5.68,3.14
2.995,-60.156,33,212,3.922,5.68,3.14
3.054,-60.156,33,212,3.922,5.68,3.14
3.112,-60.156,33,212,3.922,5.68,3.14
3.17,-60.156,33,212,3.922,5.68,3.14
3.227,-60.156,33,212,3.922,5.68,3.14
3.285,-60.156,33,212,3.922,5.68,3.14
3.343,-60.156,33,212,3.922,5.68,3.14
3.401,-60.156,33,212,3.922,5.68,3.14
3.459,-60.156,33,212,3.922,5.68,3.14
3.517,-60.156,33,212,3.922,5.68,3.14
3.576,-60.156,33,212,3.922,5.68,3.14
3.633,-60.156,33,212,3.922,5.68,3.14
3.692,-60.156,33,212,3.922,5.68,3.14
3.75,-60.156,33,212,3.922,5.68,3.14
3.807,-60.156,33,212,3.922,5.68,3.14
3.866,-60.156,33,212,3.922,5.68,3.14
3.924,-60.156,33,212,3.922,5.68,3.14
3.983,-60.156,33,212,3.922,5.68,3.14
4.04,-60.156,33,212,3.922,5.68,3.14
4.099,-60.156,33,212,3.922,5.68,3.14
4.157,-60.156,33,212,3.922,5.68,3.14
4.215,-60.156,33,212,3.922,5.68,3.14
4.273,-60.156,33,212,3.922,5.68,3.14
4.332,-60.156,33,212,3.922,5.68,3.14
4.39,-60.156,33,212,3.922,5.68,3.14
4.447,-60.156,33,212,3.922,5.68,3.14
4.505,-60.156,33,212,3.922,5.68,3.14
4.564,-60.156,33,212,3.922,5.68,3.14
4.622,-60.156,33,212,3.922,5.68,3.14
4.681,-60.156,33,212,3.922,5.68,3.14
4.739,-60.156,33,212,3.922,5.68,3.14
4.797,-60.156,33,212,3.922,5.68,3.14
4.855,-60.156,33,212,3.922,5.68,3.14
4.912,-60.156,33,212,3.922,5.68,3.14
4.971,-60.156,33,212,3.922,5.68,3.14
5.029,-60.156,33,212,3.922,5.68,3.14
5.087,-60.156,33,212,3.922,5.68,3.14
5.146,-60.156,33,212,3.922,5.68,3.14
5.204,-60.156,33,212,3.922,5.68,3.14
5.262,-60.156,33,212,3.922,5.68,3.14
5.32,-60.156,33,212,3.922,5.68,3.14
5.378,-60.156,33,212,3.922,5.68,3.14
5.437,-60.156,33,212,3.922,5.68,3.14
5.494,-60.156,33,212,3.922,5.68,3.14
5.552,-60.156,33,212,3.922,5.68,3.14
5.61,-60.156,33,212,3.922,5.68,3.14
5.668,-60.156,33,212,3.922,5.68,3.14
5.726,-60.156,33,212,3.922,5.68,3.14
5.783,-60.156,33,212,3.922,5.68,3.14
5.842,-60.156,33,212,3.922,5.68,3.14
5.899,-60.156,33,212,3.922,5.68,3.14
5.958,-60.156,33,212,3.922,5.68,3.14
6.015,-60.156,33,212,3.922,5.68,3.14
6.074,-60.156,33,212,3.922,5.68,3.14
6.132,-60.156,33,212,3.922,5.68,3.14
6.19,-60.156,33,212,3.922,5.68,3.14
6.247,-60.156,33,212,3.922,5.68,3.14
6.306,-60.156,33,212,3.922,5.68,3.14
6.364,-60.156,33,212,3.922,5.68,3.14
6.422,-60.156,33,212,3.922,5.68,3.14
6.481,-60.156,33,212,3.922,5.68,3.14
6.539,-60.156,33,212,3.922,5.68,3.14
6.598,-60.156,33,212,3.922,5.68,3.14
6.656,-60.156,33,212,3.922,5.68,3.14
6.714,-60.156,33,212,3.922,5.68,3.14
6.773,-60.156,33,212,3.922,5.68,3.14
6.831,-60.156,33,212,3.922,5.68,3.14
6.889,-60.156,33,212,3.922,5.68,3.14
6.947,-60.156,33,212,3.922,5.68,3.14
7.005,-60.156,33,212,3.922,5.68,3.14
7.063,-60.156,33,212,3.922,5.68,3.14
7.121,-60.156,33,212,3.922,5.68,3.14
7.179,-60.156,33,212,3.922,5.68,3.14
7.237,-60.156,33,212,3.922,5.68,3.14
7.295,-60.156,33,212,3.922,5.68,3.14
7.353,-60.156,33,212,3.922,5.68,3.14
7.411,-60.156,33,212,3.922,5.68,3.14
7.469,-60.156,33,212,3.922,5.68,3.14
7.528,-60.156,33,212,3.922,5.68,3.14
7.586,-60.156,33,212,3.922,5.68,3.14
7.643,-60.156,33,212,3.922,5.68,3.14
7.701,-60.156,33,212,3.922,5.68,3.14
7.759,-60.156,33,212,3.922,5.68,3.14
7.817,-60.156,33,212,3.922,5.68,3.14
7.875,-60.156,33,212,3.922,5.68,3.14
7.933,-60.156,33,212,3.922,5.68,3.14
7.991,-60.156,33,212,3.922,5.68,3.14
8.05,-60.156,33,212,3.922,5.68,3.14
8.108,-60.156,33,212,3.922,5.68,3.14
8.166,-60.156,33,212,3.922,5.68,3.14
8.224,-60.156,33,212,3.922,5.68,3.14
8.282,-60.156,33,212,3.922,5.68,3.14
8.339,-60.156,33,212,3.922,5.68,3.14
8.398,-60.156,33,212,3.922,5.68,3.14
8.456,-60.156,33,212,3.922,5.68,3.14
8.513,-60.156,33,212,3.922,5.68,3.14
8.571,-60.156,33,212,3.922,5.68,3.14
8.63,-60.156,33,212,3.922,5.68,3.14
8.688,-60.156,33,212,3.922,5.68,3.14
8.746,-60.156,33,212,3.922,5.68,3.14
8.804,-60.156,33,212,3.922,5.68,3.14
8.862,-60.156,33,212,3.922,5.68,3.14
8.92,-60.156,33,212,3.922,5.68,3.14
8.978,-60.156,33,212,3.922,5.68,3.14
9.037,-60.156,33,212,3.922,5.68,3.14
9.095,-60.156,33,212,3.922,5.68,3.14
9.153,-60.156,33,212,3.922,5.68,3.14
9.211,-60.156,33,212,3.922,5.68,3.14
9.268,-60.156,33,212,3.922,5.68,3.14
9.326,-60.156,33,212,3.922,5.68,3.14
9.385,-60.156,33,212,3.922,5.68,3.14
9.443,-60.156,33,212,3.922,5.68,3.14
9.501,-60.156,33,212,3.922,5.68,3.14
9.559,-60.156,33,212,3.922,5.68,3.14
9.618,-60.156,33,212,3.922,5.68,3.14
9.676,-60.156,33,212,3.922,5.68,3.14
9.734,-60.156,33,212,3.922,5.68,3.14
9.791,-60.156,33,212,3.922,5.68,3.14
9.849,-60.156,33,212,3.922,5.68,3.14
9.907,-60.156,33,212,3.922,5.68,3.14
9.965,-60.156,33,212,3.922,5.68,3.14
10.024,-60.156,33,212,3.922,5.68,3.14
10.082,-60.156,33,212,3.922,5.68,3.14
10.14,-60.156,33,212,3.922,5.68,3.14
10.198,-60.156,33,212,3.922,5.68,3.14
10.256,-60.156,33,212,3.922,5.68,3.14
10.314,-60.156,33,212,3.922,5.68,3.14
10.372,-60.156,33,212,3.922,5.68,3.14
10.43,-60.156,33,212,3.922,5.68,3.14
10.488,-60.156,33,212,3.922,5.68,3.14
10.546,-60.156,33,212,3.922,5.68,3.14
10.604,-60.156,33,212,3.922,5.68,3.14
10.663,-60.156,33,212,3.922,5.68,3.14
10.721,-60.156,33,212,3.922,5.68,3.14
10.779,-60.156,33,212,3.922,5.68,3.14
10.838,-60.156,33,212,3.922,5.68,3.14
10.896,-60.156,33,212,3.922,5.68,3.14
10.954,-60.156,33,212,3.922,5.68,3.14
11.012,-60.156,33,212,3.922,5.68,3.14
11.071,-60.156,33,212,3.922,5.68,3.14
11.129,-60.156,33,212,3.922,5.68,3.14
11.186,-60.156,33,212,3.922,5.68,3.14
11.245,-60.156,33,212,3.922,5.68,3.14
11.303,-60.156,33,212,3.922,5.68,3.14
11.361,-60.156,33,212,3.922,5.68,3.14
11.419,-60.156,33,212,3.922,5.68,3.14
11.477,-60.156,33,212,3.922,5.68,3.14
11.535,-60.156,33,212,3.922,5.68,3.14
11.593,-60.156,33,212,3.922,5.68,3.14
11.652,-60.156,33,212,3.922,5.68,3.14
11.709,-60.156,33,212,3.922,5.68,3.14
11.768,-60.156,33,212,3.922,5.68,3.14
11.826,-60.156,33,212,3.922,5.68,3.14
11.883,-60.156,33,212,3.922,5.68,3.14
11.942,-60.156,33,212,3.922,5.68,3.14
12.0,-60.156,33,212,3.922,5.68,3.14
12.058,-60.156,33,212,3.922,5.68,3.14
12.117,-60.156,33,212,3.922,5.68,3.14
12.175,-60.156,33,212,3.922,5.68,3.14
12.232,-60.156,33,212,3.922,5.68,3.14
12.291,-60.156,33,212,3.922,5.68,3.14
12.349,-60.156,33,212,3.922,5.68,3.14
12.407,-60.156,33,212,3.922,5.68,3.14
12.465,-60.156,33,212,3.922,5.68,3.14
12.523,-60.156,33,212,3.922,5.68,3.14
12.581,-60.156,33,212,3.922,5.68,3.14
12.639,-60.156,33,212,3.922,5.68,3.14
12.697,-60.156,33,212,3.922,5.68,3.14
12.755,-60.156,33,212,3.922,5.68,3.14
12.813,-60.156,33,212,3.922,5.68,3.14
12.872,-60.156,33,212,3.922,5.68,3.14
12.93,-60.156,33,212,3.922,5.68,3.14
12.989,-60.156,33,212,3.922,5.68,3.14
13.047,-60.156,33,212,3.922,5.68,3.14
13.105,-60.156,33,212,3.922,5.68,3.14
13.163,-60.156,33,212,3.922,5.68,3.14
13.221,-60.156,33,212,3.922,5.68,3.14
13.279,-60.156,33,212,3.922,5.68,3.14
13.337,-60.156,33,212,3.922,5.68,3.14
13.396,-60.156,33,212,3.922,5.68,3.14
13.453,-60.156,33,212,3.922,5.68,3.14
13.512,-60.156,33,212,3.922,5.68,3.14
13.57,-60.156,33,212,3.922,5.68,3.14
13.628,-60.156,33,212,3.922,5.68,3.14
13.686,-60.156,33,212,3.922,5.68,3.14
13.745,-60.156,33,212,3.922,5.68,3.14
13.803,-60.156,33,212,3.922,5.68,3.14
13.861,-60.156,33,212,3.922,5.68,3.14
13.919,-60.156,33,212,3.922,5.68,3.14
13.977,-60.156,33,212,3.922,5.68,3.14
14.035,-60.156,33,212,3.922,5.68,3.14
14.093,-60.156,33,212,3.922,5.68,3.14
14.151,-60.156,33,212,3.922,5.68,3.14
14.21,-60.156,33,212,3.922,5.68,3.14
14.267,-60.156,33,212,3.922,5.68,3.14
14.326,-60.156,33,212,3.922,5.68,3.14
14.384,-60.156,33,212,3.922,5.68,3.14
14.442,-60.156,33,212,3.922,5.68,3.14
14.5,-60.156,33,212,3.922,5.68,3.14
14.559,-60.156,33,212,3.922,5.68,3.14
14.616,-60.156,33,212,3.922,5.68,3.14
14.675,-60.156,33,212,3.922,5.68,3.14
14.733,-60.156,33,212,3.922,5.68,3.14
14.791,-60.156,33,212,3.922,5.68,3.14
14.849,-60.156,33,212,3.922,5.68,3.14
14.907,-60.156,33,212,3.922,5.68,3.14
14.965,-60.156,33,212,3.922,5.68,3.14
15.024,-60.156,33,212,3.922,5.68,3.14
15.082,-60.156,33,212,3.922,5.68,3.14
15.141,-60.156,33,212,3.922,5.68,3.14
15.199,-60.156,33,212,3.922,5.68,3.14
15.257,-60.156,33,212,3.922,5.68,3.14
15.315,-60.156,33,212,3.922,5.68,3.14
15.372,-60.156,33,212,3.922,5.68,3.14
15.431,-60.156,33,212,3.922,5.68,3.14
15.489,-60.156,33,212,3.922,5.68,3.14
15.548,-60.156,33,212,3.922,5.68,3.14
15.606,-60.156,33,212,3.922,5.68,3.14
15.664,-60.156,33,212,3.922,5.68,3.14
15.722,-60.156,33,212,3.922,5.68,3.14
15.78,-60.156,33,212,3.922,5.68,3.14
15.838,-60.156,33,212,3.922,5.68,3.14
15.896,-60.156,33,212,3.922,5.68,3.14
15.953,-60.156,33,212,3.922,5.68,3.14
16.011,-60.156,33,212,3.922,5.68,3.14
16.069,-60.156,33,212,3.922,5.68,3.14
16.127,-60.156,33,212,3.922,5.68,3.14
16.185,-60.156,33,212,3.922,5.68,3.14
16.243,-60.156,33,212,3.922,5.68,3.14
16.301,-60.156,33,212,3.922,5.68,3.14
16.359,-60.156,33,212,3.922,5.68,3.14
16.417,-60.156,33,212,3.922,5.68,3.14
16.476,-60.156,33,212,3.922,5.68,3.14
16.533,-60.156,33,212,3.922,5.68,3.14
16.592,-60.156,33,212,3.922,5.68,3.14
16.65,-60.156,33,212,3.922,5.68,3.14
16.708,-60.156,33,212,3.922,5.68,3.14
16.766,-60.156,33,212,3.922,5.68,3.14
16.824,-60.156,33,212,3.922,5.68,3.14
16.882,-60.156,33,212,3.922,5.68,3.14
16.941,-60.156,33,212,3.922,5.68,3.14
16.998,-60.156,33,212,3.922,5.68,3.14
17.056,-60.156,33,212,3.922,5.68,3.14
17.114,-60.156,33,212,3.922,5.68,3.14
17.173,-60.156,33,212,3.922,5.68,3.14
17.231,-60.156,33,212,3.922,5.68,3.14
17.29,-60.156,33,212,3.922,5.68,3.14
17.348,-60.156,33,212,3.922,5.68,3.14
17.406,-60.156,33,212,3.922,5.68,3.14
17.465,-60.156,33,212,3.922,5.68,3.14
17.523,-60.156,33,212,3.922,5.68,3.14
17.581,-60.156,33,212,3.922,5.68,3.14
17.639,-60.156,33,212,3.922,5.68,3.14
17.697,-60.156,33,212,3.922,5.68,3.14
17.755,-60.156,33,212,3.922,5.68,3.14
17.814,-60.156,33,212,3.922,5.68,3.14
17.871,-60.156,33,212,3.922,5.68,3.14
17.929,-60.156,33,212,3.922,5.68,3.14
17.987,-60.156,33,212,3.922,5.68,3.14
18.046,-60.156,33,212,3.922,5.68,3.14
18.104,-60.156,33,212,3.922,5.68,3.14
18.162,-60.156,33,212,3.922,5.68,3.14
18.22,-60.156,33,212,3.922,5.68,3.14
18.279,-60.156,33,212,3.922,5.68,3.14
18.337,-60.156,33,212,3.922,5.68,3.14
18.395,-60.156,33,212,3.922,5.68,3.14
18.452,-60.156,33,212,3.922,5.68,3.14
18.511,-60.156,33,212,3.922,5.68,3.14
18.569,-60.156,33,212,3.922,5.68,3.14
18.627,-60.156,33,212,3.922,5.68,3.14
18.685,-60.156,33,212,3.922,5.68,3.14
18.743,-60.156,33,212,3.922,5.68,3.14
18.802,-60.156,33,212,3.922,5.68,3.14
18.86,-60.156,33,212,3.922,5.68,3.14
18.918,-60.156,33,212,3.922,5.68,3.14
18.976,-60.156,33,212,3.922,5.68,3.14
19.034,-60.156,33,212,3.922,5.68,3.14
19.092,-60.156,33,212,3.922,5.68,3.14
19.15,-60.156,33,212,3.922,5.68,3.14
19.209,-60.156,33,212,3.922,5.68,3.14
19.266,-60.156,33,212,3.922,5.68,3.14
19.325,-60.156,33,212,3.922,5.68,3.14
19.383,-60.156,33,212,3.922,5.68,3.14
19.441,-60.156,33,212,3.922,5.68,3.14
19.499,-60.156,33,212,3.922,5.68,3.14
19.558,-60.156,33,212,3.922,5.68,3.14
19.616,-60.156,33,212,3.922,5.68,3.14
19.674,-60.156,33,212,3.922,5.68,3.14
19.732,-60.156,33,212,3.922,5.68,3.14
19.79,-60.156,33,212,3.922,5.68,3.14
19.848,-60.156,33,212,3.922,5.68,3.14
19.906,-60.156,33,212,3.922,5.68,3.14
19.965,-60.156,33,212,3.922,5.68,3.14
20.023,-60.156,33,212,3.922,5.68,3.14
20.081,-60.156,33,212,3.922,5.68,3.14
20.139,-60.156,33,212,3.922,5.68,3.14
20.197,-60.156,33,212,3.922,5.68,3.14
20.255,-60.156,33,212,3.922,5.68,3.14
20.313,-60.156,33,212,3.922,5.68,3.14
20.371,-60.156,33,212,3.922,5.68,3.14
20.43,-60.156,33,212,3.922,5.68,3.14
20.488,-60.156,33,212,3.922,5.68,3.14
20.546,-60.156,33,212,3.922,5.68,3.14
20.605,-60.156,33,212,3.922,5.68,3.14
20.663,-60.156,33,212,3.922,5.68,3.14
20.722,-60.156,33,212,3.922,5.68,3.14
20.78,-60.156,33,212,3.922,5.68,3.14
20.838,-60.156,33,212,3.922,5.68,3.14
20.896,-60.156,33,212,3.922,5.68,3.14
20.954,-60.156,33,212,3.922,5.68,3.14
21.012,-60.156,33,212,3.922,5.68,3.14
21.07,-60.156,33,212,3.922,5.68,3.14
21.129,-60.156,33,212,3.922,5.68,3.14
21.186,-60.156,33,212,3.922,5.68,3.14
21.244,-60.156,33,212,3.922,5.68,3.14
21.302,-60.156,33,212,3.922,5.68,3.14
21.361,-60.156,33,212,3.922,5.68,3.14
21.419,-60.156,33,212,3.922,5.68,3.14
21.477,-60.156,33,212,3.922,5.68,3.14
21.535,-60.156,33,212,3.922,5.68,3.14
21.593,-60.156,33,212,3.922,5.68,3.14
21.651,-60.156,33,212,3.922,5.68,3.14
21.71,-60.156,33,212,3.922,5.68,3.14
21.768,-60.156,33,212,3.922,5.68,3.14
21.826,-60.156,33,212,3.922,5.68,3.14
21.884,-60.156,33,212,3.922,5.68,3.14
21.942,-60.156,33,212,3.922,5.68,3.14
22.0,-60.156,33,212,3.922,5.68,3.14
22.058,-60.156,33,212,3.922,5.68,3.14
22.117,-60.156,33,212,3.922,5.68,3.14
22.175,-60.156,33,212,3.922,5.68,3.14
22.233,-60.156,33,212,3.922,5.68,3.14
22.291,-60.156,33,212,3.922,5.68,3.14
22.349,-60.156,33,212,3.922,5.68,3.14
22.407,-60.156,33,212,3.922,5.68,3.14
22.465,-60.156,33,212,3.922,5.68,3.14
22.524,-60.156,33,212,3.922,5.68,3.14
22.582,-60.156,33,212,3.922,5.68,3.14
22.64,-60.156,33,212,3.922,5.68,3.14
22.699,-60.156,33,212,3.922,5.68,3.14
22.757,-60.156,33,212,3.922,5.68,3.14
22.815,-60.156,33,212,3.922,5.68,3.14
22.873,-60.156,33,212,3.922,5.68,3.14
