Time,AirFuel_Correction_No2,Engine_Speed,Throttle_Opening_Angle,Front_O2_Sensor_No2,Air_Flow_Sensor_Voltage,Fuel_Injection_No1_Pulse_Width
0.001,-60.156,16136.25,3.922,5.68,3.14,0.0
0.101,-60.156,16136.25,3.922,5.68,3.14,0.0
0.14,-60.156,16136.25,3.922,5.68,3.14,0.0
0.166,-60.156,16136.25,3.922,5.68,3.14,0.0
0.23,-60.156,16136.25,3.922,5.68,3.14,0.0
0.294,-60.156,16136.25,3.922,5.68,3.14,0.0
0.357,-60.156,16136.25,3.922,5.68,3.14,0.0
0.422,-60.156,16136.25,3.922,5.68,3.14,0.0
0.486,-60.156,16136.25,3.922,5.68,3.14,0.0
0.55,-60.156,16136.25,3.922,5.68,3.14,0.0
0.615,-60.156,16136.25,3.922,5.68,3.14,0.0
0.679,-60.156,16136.25,3.922,5.68,3.14,0.0
0.743,-60.156,16136.25,3.922,5.68,3.14,0.0
0.807,-60.156,16136.25,3.922,5.68,3.14,0.0
0.871,-60.156,16136.25,3.922,5.68,3.14,0.0
0.936,-60.156,16136.25,3.922,5.68,3.14,0.0
1.0,-60.156,16136.25,3.922,5.68,3.14,0.0
1.065,-60.156,16136.25,3.922,5.68,3.14,0.0
1.129,-60.156,16136.25,3.922,5.68,3.14,0.0
1.194,-60.156,16136.25,3.922,5.68,3.14,0.0
1.258,-60.156,16136.25,3.922,5.68,3.14,0.0
1.323,-60.156,16136.25,3.922,5.68,3.14,0.0
1.388,-60.156,16136.25,3.922,5.68,3.14,0.0
1.452,-60.156,16136.25,3.922,5.68,3.14,0.0
1.516,-60.156,16136.25,3.922,5.68,3.14,0.0
1.581,-60.156,16136.25,3.922,5.68,3.14,0.0
1.645,-60.156,16136.25,3.922,5.68,3.14,0.0
1.709,-60.156,16136.25,3.922,5.68,3.14,0.0
1.774,-60.156,16136.25,3.922,5.68,3.14,0.0
1.839,-60.156,16136.25,3.922,5.68,3.14,0.0
