Time,Manifold_Absolute_Pressure,Intake_Air_Temperature,Rear_O2_Sensor,Air_Flow_Sensor_Voltage,Fuel_Injection_No2_Pulse_Width,Front_O2_Heater_No1
0.0,0.52,-7,14.06,2.24,1.024,6.157
0.097,0.52,-7,14.06,2.24,1.024,6.157
0.129,0.52,-7,14.06,2.24,1.024,6.157
0.155,0.52,-7,14.06,2.24,1.024,6.157
0.213,0.52,-7,14.06,2.24,1.024,6.157
0.271,0.52,-7,14.06,2.24,1.024,6.157
0.329,0.52,-7,14.06,2.24,1.024,6.157
0.387,0.52,-7,14.06,2.24,1.024,6.157
0.445,0.52,-7,14.06,2.24,1.024,6.157
0.503,0.52,-7,14.06,2.24,1.024,6.157
0.561,0.52,-7,14.06,2.24,1.024,6.157
0.619,0.52,-7,14.06,2.24,1.024,6.157
0.678,0.52,-7,14.06,2.24,1.024,6.157
0.735,0.52,-7,14.06,2.24,1.024,6.157
0.794,0.52,-7,14.06,2.24,1.024,6.157
0.852,0.52,-7,14.06,2.24,1.024,6.157
0.91,0.52,-7,14.06,2.24,1.024,6.157
0.968,0.52,-7,14.06,2.24,1.024,6.157
1.026,0.52,-7,14.06,2.24,1.024,6.157
1.084,0.52,-7,14.06,2.24,1.024,6.157
1.142,0.52,-7,14.06,2.24,1.024,6.157
1.2,0.52,-7,14.06,2.24,1.024,6.157
1.257,0.52,-7,14.06,2.24,1.024,6.157
1.316,0.52,-7,14.06,2.24,1.024,6.157
1.374,0.52,-7,14.06,2.24,1.024,6.157
1.431,0.52,-7,14.06,2.24,1.024,6.157
1.49,0.52,-7,14.06,2.24,1.024,6.157
1.548,0.52,-7,14.06,2.24,1.024,6.157
1.605,0.52,-7,14.06,2.24,1.024,6.157
1.664,0.52,-7,14.06,2.24,1.024,6.157
1.722,0.52,-7,14.06,2.24,1.024,6.157
1.78,0.52,-7,14.06,2.24,1.024,6.157
1.838,0.52,-7,14.06,2.24,1.024,6.157
1.895,0.52,-7,14.06,2.24,1.024,6.157
1.953,0.52,-7,14.06,2.24,1.024,6.157
2.011,0.52,-7,14.06,2.24,1.024,6.157
2.069,0.52,-7,14.06,2.24,1.024,6.157
2.127,0.52,-7,14.06,2.24,1.024,6.157
2.186,0.52,-7,14.06,2.24,1.024,6.157
2.244,0.52,-7,14.06,2.24,1.024,6.157
2.301,0.52,-7,14.06,2.24,1.024,6.157
2.36,0.52,-7,14.06,2.24,1.024,6.157
2.417,0.52,-7,14.06,2.24,1.024,6.157
2.475,0.52,-7,14.06,2.24,1.024,6.157
2.534,0.52,-7,14.06,2.24,1.024,6.157
2.592,0.52,-7,14.06,2.24,1.024,6.157
2.65,0.52,-7,14.06,2.24,1.024,6.157
2.708,0.52,-7,14.06,2.24,1.024,6.157
2.766,0.52,-7,14.06,2.24,1.024,6.157
2.824,0.52,-7,14.06,2.24,1.024,6.157
2.882,0.52,-7,14.06,2.24,1.024,6.157
2.94,0.52,-7,14.06,2.24,1.024,6.157
2.998,0.52,-7,14.06,2.24,1.024,6.157
3.056,0.52,-7,14.06,2.24,1.024,6.157
3.114,0.52,-7,14.06,2.24,1.024,6.157
3.172,0.52,-7,14.06,2.24,1.024,6.157
3.23,0.52,-7,14.06,2.24,1.024,6.157
3.288,0.52,-7,14.06,2.24,1.024,6.157
3.346,0.52,-7,14.06,2.24,1.024,6.157
3.404,0.52,-7,14.06,2.24,1.024,6.157
3.463,0.52,-7,14.06,2.24,1.024,6.157
3.521,0.52,-7,14.06,2.24,1.024,6.157
3.579,0.52,-7,14.06,2.24,1.024,6.157
3.637,0.52,-7,14.06,2.24,1.024,6.157
3.695,0.52,-7,14.06,2.24,1.024,6.157
3.754,0.52,-7,14.06,2.24,1.024,6.157
3.812,0.52,-7,14.06,2.24,1.024,6.157
3.87,0.52,-7,14.06,2.24,1.024,6.157
3.928,0.52,-7,14.06,2.24,1.024,6.157
3.986,0.52,-7,14.06,2.24,1.024,6.157
4.044,0.52,-7,14.06,2.24,1.024,6.157
4.102,0.52,-7,14.06,2.24,1.024,6.157
4.16,0.52,-7,14.06,2.24,1.024,6.157
4.218,0.52,-7,14.06,2.24,1.024,6.157
4.277,0.52,-7,14.06,2.24,1.024,6.157
4.335,0.52,-7,14.06,2.24,1.024,6.157
4.393,0.52,-7,14.06,2.24,1.024,6.157
4.452,0.52,-7,14.06,2.24,1.024,6.157
