Time,AirFuel_Learning_No2,Intake_Air_Temperature,Rear_O2_Sensor,Air_Flow_Sensor_Voltage,Atmospheric_Pressure
0.0,-60.156,-7,14.06,2.24,0.041
0.104,-60.156,-7,14.06,2.24,0.041
0.134,-60.156,-7,14.06,2.24,0.041
0.156,-60.156,-7,14.06,2.24,0.041
0.208,-60.156,-7,14.06,2.24,0.041
0.26,-60.156,-7,14.06,2.24,0.041
0.312,-60.156,-7,14.06,2.24,0.041
0.364,-60.156,-7,14.06,2.24,0.041
0.416,-60.156,-7,14.06,2.24,0.041
0.468,-60.156,-7,14.06,2.24,0.041
0.52,-60.156,-7,14.06,2.24,0.041
0.572,-60.156,-7,14.06,2.24,0.041
0.624,-60.156,-7,14.06,2.24,0.041
0.676,-60.156,-7,14.06,2.24,0.041
0.728,-60.156,-7,14.06,2.24,0.041
0.78,-60.156,-7,14.06,2.24,0.041
0.832,-60.156,-7,14.06,2.24,0.041
0.884,-60.156,-7,14.06,2.24,0.041
0.935,-60.156,-7,14.06,2.24,0.041
0.988,-60.156,-7,14.06,2.24,0.041
1.039,-60.156,-7,14.06,2.24,0.041
1.091,-60.156,-7,14.06,2.24,0.041
1.143,-60.156,-7,14.06,2.24,0.041
1.195,-60.156,-7,14.06,2.24,0.041
1.247,-60.156,-7,14.06,2.24,0.041
1.298,-60.156,-7,14.06,2.24,0.041
1.35,-60.156,-7,14.06,2.24,0.041
1.402,-60.156,-7,14.06,2.24,0.041
1.455,-60.156,-7,14.06,2.24,0.041
1.506,-60.156,-7,14.06,2.24,0.041
1.558,-60.156,-7,14.06,2.24,0.041
1.61,-60.156,-7,14.06,2.24,0.041
1.662,-60.156,-7,14.06,2.24,0.041
1.714,-60.156,-7,14.06,2.24,0.041
1.766,-60.156,-7,14.06,2.24,0.041
1.818,-60.156,-7,14.06,2.24,0.041
1.869,-60.156,-7,14.06,2.24,0.041
1.922,-60.156,-7,14.06,2.24,0.041
1.974,-60.156,-7,14.06,2.24,0.041
2.026,-60.156,-7,14.06,2.24,0.041
2.078,-60.156,-7,14.06,2.24,0.041
2.13,-60.156,-7,14.06,2.24,0.041
2.182,-60.156,-7,14.06,2.24,0.041
2.234,-60.156,-7,14.06,2.24,0.041
2.286,-60.156,-7,14.06,2.24,0.041
2.337,-60.156,-7,14.06,2.24,0.041
2.389,-60.156,-7,14.06,2.24,0.041
2.441,-60.156,-7,14.06,2.24,0.041
2.493,-60.156,-7,14.06,2.24,0.041
2.545,-60.156,-7,14.06,2.24,0.041
2.597,-60.156,-7,14.06,2.24,0.041
2.649,-60.156,-7,14.06,2.24,0.041
2.701,-60.156,-7,14.06,2.24,0.041
2.753,-60.156,-7,14.06,2.24,0.041
2.805,-60.156,-7,14.06,2.24,0.041
2.856,-60.156,-7,14.06,2.24,0.041
2.908,-60.156,-7,14.06,2.24,0.041
2.96,-60.156,-7,14.06,2.24,0.041
3.012,-60.156,-7,14.06,2.24,0.041
3.064,-60.156,-7,14.06,2.24,0.041
3.116,-60.156,-7,14.06,2.24,0.041
3.168,-60.156,-7,14.06,2.24,0.041
3.219,-60.156,-7,14.06,2.24,0.041
3.272,-60.156,-7,14.06,2.24,0.041
3.324,-60.156,-7,14.06,2.24,0.041
3.375,-60.156,-7,14.06,2.24,0.041
3.427,-60.156,-7,14.06,2.24,0.041
3.479,-60.156,-7,14.06,2.24,0.041
3.531,-60.156,-7,14.06,2.24,0.041
3.583,-60.156,-7,14.06,2.24,0.041
3.635,-60.156,-7,14.06,2.24,0.041
3.686,-60.156,-7,14.06,2.24,0.041
3.738,-60.156,-7,14.06,2.24,0.041
3.79,-60.156,-7,14.06,2.24,0.041
3.842,-60.156,-7,14.06,2.24,0.041
3.894,-60.156,-7,14.06,2.24,0.041
3.946,-60.156,-7,14.06,2.24,0.041
3.998,-60.156,-7,14.06,2.24,0.041
4.05,-60.156,-7,14.06,2.24,0.041
4.101,-60.156,-7,14.06,2.24,0.041
4.153,-60.156,-7,14.06,2.24,0.041
4.206,-60.156,-7,14.06,2.24,0.041
4.258,-60.156,-7,14.06,2.24,0.041
4.309,-60.156,-7,14.06,2.24,0.041
4.362,-60.156,-7,14.06,2.24,0.041
4.414,-60.156,-7,14.06,2.24,0.041
4.466,-60.156,-7,14.06,2.24,0.041
4.518,-60.156,-7,14.06,2.24,0.041
4.569,-60.156,-7,14.06,2.24,0.041
4.621,-60.156,-7,14.06,2.24,0.041
4.674,-60.156,-7,14.06,2.24,0.041
4.726,-60.156,-7,14.06,2.24,0.041
4.778,-60.156,-7,14.06,2.24,0.041
4.83,-60.156,-7,14.06,2.24,0.041
4.882,-60.156,-7,14.06,2.24,0.041
4.934,-60.156,-7,14.06,2.24,0.041
4.985,-60.156,-7,14.06,2.24,0.041
5.037,-60.156,-7,14.06,2.24,0.041
5.089,-60.156,-7,14.06,2.24,0.041
5.141,-60.156,-7,14.06,2.24,0.041
5.192,-60.156,-7,14.06,2.24,0.041
5.245,-60.156,-7,14.06,2.24,0.041
5.297,-60.156,-7,14.06,2.24,0.041
5.349,-60.156,-7,14.06,2.24,0.041
5.401,-60.156,-7,14.06,2.24,0.041
5.453,-60.156,-7,14.06,2.24,0.041
5.505,-60.156,-7,14.06,2.24,0.041
5.557,-60.156,-7,14.06,2.24,0.041
5.609,-60.156,-7,14.06,2.24,0.041
5.661,-60.156,-7,14.06,2.24,0.041
5.714,-60.156,-7,14.06,2.24,0.041
5.766,-60.156,-7,14.06,2.24,0.041
5.817,-60.156,-7,14.06,2.24,0.041
5.869,-60.156,-7,14.06,2.24,0.041
5.921,-60.156,-7,14.06,2.24,0.041
5.972,-60.156,-7,14.06,2.24,0.041
6.025,-60.156,-7,14.06,2.24,0.041
6.076,-60.156,-7,14.06,2.24,0.041
6.128,-60.156,-7,14.06,2.24,0.041
6.18,-60.156,-7,14.06,2.24,0.041
6.232,-60.156,-7,14.06,2.24,0.041
6.283,-60.156,-7,14.06,2.24,0.041
6.336,-60.156,-7,14.06,2.24,0.041
6.387,-60.156,-7,14.06,2.24,0.041
6.439,-60.156,-7,14.06,2.24,0.041
6.491,-60.156,-7,14.06,2.24,0.041
6.543,-60.156,-7,14.06,2.24,0.041
6.595,-60.156,-7,14.06,2.24,0.041
6.647,-60.156,-7,14.06,2.24,0.041
6.698,-60.156,-7,14.06,2.24,0.041
6.75,-60.156,-7,14.06,2.24,0.041
6.803,-60.156,-7,14.06,2.24,0.041
6.855,-60.156,-7,14.06,2.24,0.041
6.907,-60.156,-7,14.06,2.24,0.041
6.958,-60.156,-7,14.06,2.24,0.041
7.01,-60.156,-7,14.06,2.24,0.041
7.062,-60.156,-7,14.06,2.24,0.041
7.113,-60.156,-7,14.06,2.24,0.041
7.166,-60.156,-7,14.06,2.24,0.041
7.218,-60.156,-7,14.06,2.24,0.041
7.27,-60.156,-7,14.06,2.24,0.041
7.322,-60.156,-7,14.06,2.24,0.041
7.374,-60.156,-7,14.06,2.24,0.041
7.426,-60.156,-7,14.06,2.24,0.041
7.478,-60.156,-7,14.06,2.24,0.041
7.53,-60.156,-7,14.06,2.24,0.041
7.582,-60.156,-7,14.06,2.24,0.041
7.634,-60.156,-7,14.06,2.24,0.041
7.686,-60.156,-7,14.06,2.24,0.041
7.738,-60.156,-7,14.06,2.24,0.041
7.789,-60.156,-7,14.06,2.24,0.041
7.841,-60.156,-7,14.06,2.24,0.041
7.893,-60.156,-7,14.06,2.24,0.041
7.945,-60.156,-7,14.06,2.24,0.041
7.997,-60.156,-7,14.06,2.24,0.041
8.049,-60.156,-7,14.06,2.24,0.041
8.1,-60.156,-7,14.06,2.24,0.041
8.153,-60.156,-7,14.06,2.24,0.041
8.204,-60.156,-7,14.06,2.24,0.041
8.257,-60.156,-7,14.06,2.24,0.041
8.308,-60.156,-7,14.06,2.24,0.041
8.36,-60.156,-7,14.06,2.24,0.041
8.413,-60.156,-7,14.06,2.24,0.041
8.464,-60.156,-7,14.06,2.24,0.041
8.516,-60.156,-7,14.06,2.24,0.041
8.569,-60.156,-7,14.06,2.24,0.041
8.621,-60.156,-7,14.06,2.24,0.041
8.672,-60.156,-7,14.06,2.24,0.041
