Time,Manifold_Absolute_Pressure,Intake_Air_Temperature,Front_O2_Sensor_No2,Throttle_Sensor_Voltage,Fuel_Injection_No1_Pulse_Width,Fuel_Tank_Pressure
0.001,0.52,-7,14.06,2.24,1.024,0.7
0.085,0.52,-7,14.06,2.24,1.024,0.7
0.114,0.52,-7,14.06,2.24,1.024,0.7
0.144,0.52,-7,14.06,2.24,1.024,0.7
0.202,0.52,-7,14.06,2.24,1.024,0.7
0.261,0.52,-7,14.06,2.24,1.024,0.7
0.319,0.52,-7,14.06,2.24,1.024,0.7
0.377,0.52,-7,14.06,2.24,1.024,0.7
0.436,0.52,-7,14.06,2.24,1.024,0.7
0.494,0.52,-7,14.06,2.24,1.024,0.7
0.552,0.52,-7,14.06,2.24,1.024,0.7
0.611,0.52,-7,14.06,2.24,1.024,0.7
0.669,0.52,-7,14.06,2.24,1.024,0.7
0.727,0.52,-7,14.06,2.24,1.024,0.7
0.785,0.52,-7,14.06,2.24,1.024,0.7
0.843,0.52,-7,14.06,2.24,1.024,0.7
0.901,0.52,-7,14.06,2.24,1.024,0.7
0.959,0.52,-7,14.06,2.24,1.024,0.7
1.017,0.52,-7,14.06,2.24,1.024,0.7
1.075,0.52,-7,14.06,2.24,1.024,0.7
1.134,0.52,-7,14.06,2.24,1.024,0.7
1.192,0.52,-7,14.06,2.24,1.024,0.7
1.251,0.52,-7,14.06,2.24,1.024,0.7
1.309,0.52,-7,14.06,2.24,1.024,0.7
1.367,0.52,-7,14.06,2.24,1.024,0.7
1.425,0.52,-7,14.06,2.24,1.024,0.7
1.483,0.52,-7,14.06,2.24,1.024,0.7
1.541,0.52,-7,14.06,2.24,1.024,0.7
1.599,0.52,-7,14.06,2.24,1.024,0.7
1.657,0.52,-7,14.06,2.24,1.024,0.7
1.716,0.52,-7,14.06,2.24,1.024,0.7
1.774,0.52,-7,14.06,2.24,1.024,0.7
1.832,0.52,-7,14.06,2.24,1.024,0.7
1.891,0.52,-7,14.06,2.24,1.024,0.7
1.949,0.52,-7,14.06,2.24,1.024,0.7
2.007,0.52,-7,14.06,2.24,1.024,0.7
2.065,0.52,-7,14.06,2.24,1.024,0.7
2.123,0.52,-7,14.06,2.24,1.024,0.7
2.181,0.52,-7,14.06,2.24,1.024,0.7
2.239,0.52,-7,14.06,2.24,1.024,0.7
2.297,0.52,-7,14.06,2.24,1.024,0.7
2.356,0.52,-7,14.06,2.24,1.024,0.7
2.413,0.52,-7,14.06,2.24,1.024,0.7
2.471,0.52,-7,14.06,2.24,1.024,0.7
2.529,0.52,-7,14.06,2.24,1.024,0.7
2.587,0.52,-7,14.06,2.24,1.024,0.7
2.645,0.52,-7,14.06,2.24,1.024,0.7
2.703,0.52,-7,14.06,2.24,1.024,0.7
2.761,0.52,-7,14.06,2.24,1.024,0.7
2.819,0.52,-7,14.06,2.24,1.024,0.7
2.878,0.52,-7,14.06,2.24,1.024,0.7
2.935,0.52,-7,14.06,2.24,1.024,0.7
2.994,0.52,-7,14.06,2.24,1.024,0.7
3.052,0.52,-7,14.06,2.24,1.024,0.7
3.11,0.52,-7,14.06,2.24,1.024,0.7
3.168,0.52,-7,14.06,2.24,1.024,0.7
3.226,0.52,-7,14.06,2.24,1.024,0.7
3.284,0.52,-7,14.06,2.24,1.024,0.7
3.342,0.52,-7,14.06,2.24,1.024,0.7
3.4,0.52,-7,14.06,2.24,1.024,0.7
3.459,0.52,-7,14.06,2.24,1.024,0.7
3.517,0.52,-7,14.06,2.24,1.024,0.7
3.575,0.52,-7,14.06,2.24,1.024,0.7
3.633,0.52,-7,14.06,2.24,1.024,0.7
3.692,0.52,-7,14.06,2.24,1.024,0.7
3.75,0.52,-7,14.06,2.24,1.024,0.7
3.809,0.52,-7,14.06,2.24,1.024,0.7
3.867,0.52,-7,14.06,2.24,1.024,0.7
3.925,0.52,-7,14.06,2.24,1.024,0.7
3.984,0.52,-7,14.06,2.24,1.024,0.7
4.042,0.52,-7,14.06,2.24,1.024,0.7
4.1,0.52,-7,14.06,2.24,1.024,0.7
4.158,0.52,-7,14.06,2.24,1.024,0.7
4.217,0.52,-7,14.06,2.24,1.024,0.7
4.274,0.52,-7,14.06,2.24,1.024,0.7
4.333,0.52,-7,14.06,2.24,1.024,0.7
4.39,0.52,-7,14.06,2.24,1.024,0.7
4.448,0.52,-7,14.06,2.24,1.024,0.7
4.507,0.52,-7,14.06,2.24,1.024,0.7
4.565,0.52,-7,14.06,2.24,1.024,0.7
4.623,0.52,-7,14.06,2.24,1.024,0.7
4.68,0.52,-7,14.06,2.24,1.024,0.7
4.738,0.52,-7,14.06,2.24,1.024,0.7
