Time,Intake_Air_Temperature,Throttle_Opening_Angle,Rear_O2_Sensor,Front_O2_Sensor_No2,Air_Flow_Sensor_Voltage,Fuel_Injection_No1_Pulse_Width
0.0,11,12.941,14.06,5.68,3.14,0.0
0.088,11,12.941,14.06,5.68,3.14,0.0
0.118,11,12.941,14.06,5.68,3.14,0.0
0.152,11,12.941,14.06,5.68,3.14,0.0
0.217,11,12.941,14.06,5.68,3.14,0.0
0.281,11,12.941,14.06,5.68,3.14,0.0
0.346,11,12.941,14.06,5.68,3.14,0.0
0.41,11,12.941,14.06,5.68,3.14,0.0
0.474,11,12.941,14.06,5.68,3.14,0.0
0.538,11,12.941,14.06,5.68,3.14,0.0
0.602,11,12.941,14.06,5.68,3.14,0.0
0.666,11,12.941,14.06,5.68,3.14,0.0
0.731,11,12.941,14.06,5.68,3.14,0.0
0.795,11,12.941,14.06,5.68,3.14,0.0
0.86,11,12.941,14.06,5.68,3.14,0.0
0.924,11,12.941,14.06,5.68,3.14,0.0
0.988,11,12.941,14.06,5.68,3.14,0.0
1.053,11,12.941,14.06,5.68,3.14,0.0
1.117,11,12.941,14.06,5.68,3.14,0.0
1.182,11,12.941,14.06,5.68,3.14,0.0
1.246,11,12.941,14.06,5.68,3.14,0.0
1.311,11,12.941,14.06,5.68,3.14,0.0
1.375,11,12.941,14.06,5.68,3.14,0.0
1.439,11,12.941,14.06,5.68,3.14,0.0
1.503,11,12.941,14.06,5.68,3.14,0.0
1.568,11,12.941,14.06,5.68,3.14,0.0
1.633,11,12.941,14.06,5.68,3.14,0.0
1.697,11,12.941,14.06,5.68,3.14,0.0
1.761,11,12.941,14.06,5.68,3.14,0.0
1.826,11,12.941,14.06,5.68,3.14,0.0
1.89,11,12.941,14.06,5.68,3.14,0.0
