Time,Ignition_Timing,Differential_Pressure_Sensor_Voltage,Knock_Correction,Fuel_Temperature,Secondary_Wastegate_Duty_Cycle,Idle_Speed_Control_Valve_Step,Intake_VVT_Advance_Angle_Left
0.0,-38.5,0.66,62.0,-30,43.922,4,107
0.093,-38.5,0.66,62.0,-30,43.922,4,107
0.132,-38.5,0.66,62.0,-30,43.922,4,107
0.151,-38.5,0.66,62.0,-30,43.922,4,107
0.209,-38.5,0.66,62.0,-30,43.922,4,107
0.267,-38.5,0.66,62.0,-30,43.922,4,107
0.325,-38.5,0.66,62.0,-30,43.922,4,107
0.383,-38.5,0.66,62.0,-30,43.922,4,107
0.44,-38.5,0.66,62.0,-30,43.922,4,107
0.499,-38.5,0.66,62.0,-30,43.922,4,107
0.557,-38.5,0.66,62.0,-30,43.922,4,107
0.615,-38.5,0.66,62.0,-30,43.922,4,107
0.673,-38.5,0.66,62.0,-30,43.922,4,107
0.732,-38.5,0.66,62.0,-30,43.922,4,107
0.79,-38.5,0.66,62.0,-30,43.922,4,107
0.848,-38.5,0.66,62.0,-30,43.922,4,107
0.906,-38.5,0.66,62.0,-30,43.922,4,107
0.965,-38.5,0.66,62.0,-30,43.922,4,107
1.023,-38.5,0.66,62.0,-30,43.922,4,107
1.082,-38.5,0.66,62.0,-30,43.922,4,107
1.14,-38.5,0.66,62.0,-30,43.922,4,107
1.198,-38.5,0.66,62.0,-30,43.922,4,107
1.256,-38.5,0.66,62.0,-30,43.922,4,107
1.314,-38.5,0.66,62.0,-30,43.922,4,107
1.372,-38.5,0.66,62.0,-30,43.922,4,107
1.43,-38.5,0.66,62.0,-30,43.922,4,107
1.488,-38.5,0.66,62.0,-30,43.922,4,107
1.546,-38.5,0.66,62.0,-30,43.922,4,107
1.604,-38.5,0.66,62.0,-30,43.922,4,107
1.662,-38.5,0.66,62.0,-30,43.922,4,107
2.012,-38.5,0.66,62.0,-30,43.922,4,107
2.022,-38.5,0.66,62.0,-30,43.922,4,107
2.071,-38.5,0.66,62.0,-30,43.922,4,107
2.129,-38.5,0.66,62.0,-30,43.922,4,107
2.188,-38.5,0.66,62.0,-30,43.922,4,107
2.246,-38.5,0.66,62.0,-30,43.922,4,107
2.304,-38.5,0.66,62.0,-30,43.922,4,107
2.362,-38.5,0.66,62.0,-30,43.922,4,107
2.42,-38.5,0.66,62.0,-30,43.922,4,107
2.478,-38.5,0.66,62.0,-30,43.922,4,107
2.536,-38.5,0.66,62.0,-30,43.922,4,107
2.594,-38.5,0.66,62.0,-30,43.922,4,107
2.652,-38.5,0.66,62.0,-30,43.922,4,107
2.709,-38.5,0.66,62.0,-30,43.922,4,107
2.768,-38.5,0.66,62.0,-30,43.922,4,107
2.825,-38.5,0.66,62.0,-30,43.922,4,107
2.883,-38.5,0.66,62.0,-30,43.922,4,107
2.941,-38.5,0.66,62.0,-30,43.922,4,107
2.999,-38.5,0.66,62.0,-30,43.922,4,107
3.058,-38.5,0.66,62.0,-30,43.922,4,107
3.283,-38.5,0.66,62.0,-30,43.922,4,107
