Time,Engine_Load,Manifold_Absolute_Pressure,Engine_Speed,Intake_Air_Temperature,Throttle_Opening_Angle,Rear_O2_Sensor,Atmospheric_Pressure,Manifold_Relative_Pressure
0.0,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
0.378,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
0.691,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
0.783,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
0.881,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
0.966,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.046,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.123,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.2,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.275,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.354,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.432,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.506,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.598,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.672,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.746,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.828,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.906,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
1.98,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
2.061,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
2.141,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
2.213,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
2.314,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
2.385,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.15,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.24,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.319,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.396,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.473,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.588,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.679,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.755,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.833,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
3.949,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.025,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.102,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.187,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.267,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.344,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.429,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.506,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.583,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.66,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.737,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.814,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.891,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
4.967,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.126,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.231,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.307,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
5.385,20.0,0.337,703.0,72,1.569,0.785,1.02,-0.683
