Time,Engine_Load,Coolant_Temperature,Manifold_Absolute_Pressure,Engine_Speed,Vehicle_Speed,Intake_Air_Temperature,Manifold_Relative_Pressure
0.104,31.765,86,0.479,806.75,0,61,-0.53
0.886,33.333,86,0.479,797.25,0,61,-0.53
1.377,33.725,86,0.479,799.0,0,61,-0.53
1.58,34.51,86,0.479,804.5,0,61,-0.53
1.851,33.333,86,0.479,800.0,0,61,-0.53
2.168,31.373,86,0.479,808.75,0,61,-0.53
2.506,32.157,86,0.469,800.75,0,61,-0.53
3.282,32.549,86,0.479,802.25,0,61,-0.53
3.531,33.333,86,0.479,805.25,0,61,-0.53
3.755,32.549,86,0.479,809.5,0,61,-0.53
4.008,32.549,86,0.479,805.5,0,61,-0.53
4.285,34.118,86,0.469,805.75,0,61,-0.541
4.483,32.549,86,0.469,814.5,0,61,-0.541
4.799,33.725,86,0.469,816.75,0,61,-0.541
5.079,31.765,86,0.469,812.5,0,61,-0.541
5.363,31.373,86,0.469,812.0,0,61,-0.541
5.641,33.725,86,0.469,804.25,0,61,-0.541
5.871,31.373,86,0.469,805.75,0,61,-0.541
6.187,34.118,86,0.469,814.25,0,61,-0.541
6.423,33.333,86,0.469,812.25,0,61,-0.541
6.654,33.725,86,0.469,808.75,0,61,-0.541
6.909,34.118,86,0.469,803.5,0,61,-0.541
7.16,32.941,86,0.469,814.25,0,61,-0.541
7.493,31.373,86,0.469,808.0,0,61,-0.541
7.797,33.725,86,0.469,807.75,0,61,-0.541
8.092,31.765,86,0.469,803.5,0,61,-0.541
8.359,30.98,86,0.469,803.5,0,61,-0.541
8.69,32.549,86,0.469,803.75,0,61,-0.541
8.833,31.373,86,0.469,801.75,0,61,-0.541
8.987,32.549,86,0.469,801.75,0,61,-0.541
9.122,32.549,86,0.469,801.5,0,61,-0.541
9.255,31.373,86,0.469,802.5,0,61,-0.541
9.569,32.941,86,0.469,799.25,0,61,-0.541
9.784,31.373,86,0.469,796.25,0,61,-0.541
10.078,33.725,86,0.469,789.25,0,61,-0.53
10.312,32.157,86,0.479,789.5,0,61,-0.53
10.593,32.157,86,0.479,800.5,0,61,-0.53
10.803,32.941,86,0.479,803.75,0,61,-0.53
11.022,32.157,86,0.479,804.0,0,61,-0.53
11.288,31.765,86,0.469,801.75,0,61,-0.541
11.632,33.333,86,0.469,809.5,0,61,-0.541
12.075,33.333,86,0.469,810.75,0,61,-0.541
12.402,31.765,86,0.469,801.0,0,61,-0.541
12.648,31.765,86,0.469,802.5,0,61,-0.541
12.953,34.118,86,0.469,811.0,0,61,-0.541
13.093,31.765,86,0.469,805.5,0,61,-0.541
13.225,33.333,86,0.469,805.0,0,61,-0.541
13.358,32.941,86,0.469,804.5,0,61,-0.541
13.493,32.157,86,0.469,810.0,0,61,-0.541
13.626,33.333,86,0.469,813.0,0,61,-0.541
13.77,32.157,86,0.469,815.0,0,61,-0.541
13.918,33.333,86,0.469,812.0,0,61,-0.541
14.049,32.549,86,0.469,807.0,0,61,-0.541
14.183,32.157,86,0.469,804.5,0,61,-0.541
14.317,33.333,86,0.469,813.75,0,61,-0.541
14.451,32.157,86,0.469,814.0,0,61,-0.541
14.6,32.157,86,0.469,816.25,0,61,-0.541
14.748,31.765,86,0.469,814.25,0,61,-0.541
14.896,31.765,86,0.469,812.5,0,61,-0.541
15.035,32.549,86,0.469,809.75,0,61,-0.541
15.196,32.157,86,0.469,809.25,0,61,-0.541
15.347,32.549,86,0.469,808.25,0,61,-0.541
15.481,32.941,86,0.469,806.75,0,61,-0.541
15.629,32.157,86,0.469,805.0,0,61,-0.541
15.764,33.333,86,0.469,799.0,0,61,-0.541
15.914,33.333,86,0.469,802.25,0,61,-0.541
16.049,31.373,86,0.469,801.0,0,61,-0.541
16.2,33.333,86,0.469,803.5,0,61,-0.541
16.348,32.549,86,0.469,805.25,0,61,-0.541
16.481,31.373,86,0.469,806.0,0,61,-0.541
16.632,33.725,86,0.469,807.0,0,61,-0.541
16.789,31.765,86,0.469,808.5,0,61,-0.541
16.941,32.157,86,0.469,809.5,0,61,-0.541
17.092,33.725,86,0.469,810.0,0,61,-0.541
17.224,30.98,86,0.469,813.25,0,61,-0.541
17.369,32.941,86,0.469,813.25,0,61,-0.541
17.551,32.549,86,0.469,824.0,0,61,-0.541
17.715,32.549,86,0.469,823.5,0,61,-0.541
17.866,32.941,86,0.469,822.75,0,61,-0.541
18.0,31.373,86,0.469,819.25,0,61,-0.541
18.15,33.333,86,0.469,820.5,0,61,-0.541
18.301,30.98,86,0.469,822.0,0,61,-0.541
18.465,30.98,86,0.469,813.0,0,61,-0.541
18.62,32.941,86,0.469,812.75,0,61,-0.541
18.757,31.373,86,0.469,812.25,0,61,-0.541
18.923,31.765,86,0.469,811.75,0,61,-0.541
19.057,31.765,86,0.469,812.0,0,61,-0.541
19.196,32.157,86,0.469,819.0,0,61,-0.541
19.358,32.941,86,0.469,818.25,0,61,-0.541
19.5,30.588,86,0.469,816.25,0,61,-0.541
19.665,31.765,86,0.469,818.25,0,61,-0.541
19.805,31.373,86,0.469,814.75,0,61,-0.541
