Time,Engine_Load,Coolant_Temperature,Engine_Speed,Vehicle_Speed,Manifold_Relative_Pressure
0.084,28.235,89,725.5,0,-0.592
0.367,25.882,89,722.0,0,-0.592
0.539,26.667,89,725.0,0,-0.592
0.649,27.843,89,729.0,0,-0.581
0.757,28.235,89,730.0,0,-0.581
0.883,29.02,89,727.25,0,-0.581
1.006,28.627,89,736.75,0,-0.592
1.16,28.235,89,740.5,0,-0.592
1.295,26.275,89,744.25,0,-0.592
1.419,26.275,89,738.5,0,-0.592
1.544,26.667,89,745.25,0,-0.592
1.666,27.843,89,738.0,0,-0.592
1.791,29.02,89,745.75,0,-0.592
1.924,28.235,89,736.25,0,-0.592
2.061,27.059,89,740.5,0,-0.592
2.185,25.882,89,740.75,0,-0.592
2.316,25.882,89,734.5,0,-0.592
2.441,27.451,88,740.5,0,-0.592
2.56,28.235,88,731.5,0,-0.592
2.668,29.412,88,733.25,0,-0.592
2.775,26.275,88,739.25,0,-0.581
2.899,27.451,88,735.75,0,-0.592
3.021,28.627,88,740.5,0,-0.581
3.129,29.02,88,733.75,0,-0.581
3.27,28.235,88,742.0,0,-0.592
3.406,26.275,88,742.0,0,-0.592
3.562,29.804,88,735.0,0,-0.581
3.679,28.235,88,740.75,0,-0.581
3.8,28.235,88,734.0,0,-0.581
3.924,29.412,88,744.25,0,-0.581
4.054,29.412,88,731.5,0,-0.581
4.179,28.235,88,738.0,0,-0.581
4.315,26.275,88,745.25,0,-0.581
4.432,26.275,88,744.5,0,-0.581
4.555,27.843,88,753.25,0,-0.581
4.677,28.627,88,746.75,0,-0.592
4.802,28.235,88,750.25,0,-0.592
4.909,26.275,88,745.5,0,-0.592
5.031,25.49,88,753.5,0,-0.592
5.152,27.451,88,746.25,0,-0.592
5.284,28.627,88,750.75,0,-0.592
5.429,29.02,88,745.5,0,-0.592
5.536,26.667,88,748.25,0,-0.592
5.674,25.882,88,749.75,0,-0.592
5.816,26.667,88,741.25,0,-0.592
5.933,27.451,88,747.25,0,-0.592
6.041,25.882,88,744.75,0,-0.592
6.149,26.275,88,749.75,0,-0.592
6.263,27.451,88,747.0,0,-0.592
6.381,29.02,88,740.0,0,-0.592
6.516,28.235,88,742.0,0,-0.581
6.637,27.843,88,742.75,0,-0.592
6.78,25.882,88,736.25,0,-0.592
6.903,26.275,88,742.25,0,-0.592
7.015,27.451,88,737.25,0,-0.581
7.124,27.059,88,742.25,0,-0.581
7.248,25.882,88,735.5,0,-0.581
7.37,26.667,88,743.0,0,-0.581
7.505,27.843,88,739.5,0,-0.581
7.614,29.02,88,746.75,0,-0.581
7.731,29.02,88,736.75,0,-0.581
7.868,27.843,88,744.75,0,-0.581
7.974,25.882,88,737.0,0,-0.581
8.109,26.667,88,744.75,0,-0.581
8.244,27.843,88,738.75,0,-0.581
8.379,29.02,88,745.5,0,-0.581
8.487,29.02,88,746.25,0,-0.581
8.623,26.667,88,748.75,0,-0.581
8.763,25.882,88,752.5,0,-0.581
8.908,27.451,88,756.75,0,-0.581
9.037,29.02,88,749.25,0,-0.581
9.162,28.235,88,758.25,0,-0.581
9.3,25.882,88,758.0,0,-0.592
9.431,26.667,88,751.75,0,-0.592
9.57,25.098,88,748.25,0,-0.592
9.695,26.667,88,755.5,0,-0.592
9.825,28.627,88,744.0,0,-0.592
9.946,25.882,88,749.0,0,-0.592
10.067,26.667,88,741.25,0,-0.592
10.174,28.235,88,750.0,0,-0.592
10.302,29.412,88,740.25,0,-0.581
10.441,28.627,88,750.75,0,-0.581
10.564,25.882,88,746.25,0,-0.581
10.672,26.275,88,749.75,0,-0.581
10.793,27.843,88,743.25,0,-0.581
10.911,29.02,88,751.0,0,-0.581
11.019,25.882,88,747.75,0,-0.581
11.154,27.843,88,751.75,0,-0.581
11.304,25.882,88,754.0,0,-0.592
11.42,27.843,88,745.5,0,-0.592
11.554,28.627,88,754.0,0,-0.592
11.662,26.275,88,750.5,0,-0.592
11.779,27.843,88,757.0,0,-0.581
11.888,29.02,88,754.75,0,-0.592
12.013,28.235,88,755.25,0,-0.592
12.152,25.882,88,750.0,0,-0.592
12.295,26.275,88,751.5,0,-0.581
12.417,28.235,88,755.5,0,-0.592
12.532,29.02,88,746.5,0,-0.592
12.637,28.235,88,747.0,0,-0.592
12.757,28.235,88,751.0,0,-0.592
12.88,29.804,88,739.75,0,-0.581
13.005,28.627,88,745.5,0,-0.581
13.129,27.059,88,739.75,0,-0.581
13.262,26.667,88,741.75,0,-0.581
13.388,27.059,88,753.25,0,-0.581
13.496,28.235,88,746.5,0,-0.581
13.612,29.412,88,752.25,0,-0.581
13.743,27.059,88,745.75,0,-0.581
13.87,25.882,88,752.25,0,-0.581
13.979,27.451,88,741.75,0,-0.581
14.095,27.451,88,750.0,0,-0.581
14.211,26.275,88,752.0,0,-0.581
14.333,27.059,88,744.5,0,-0.581
14.451,27.843,88,748.75,0,-0.581
14.569,29.412,88,741.75,0,-0.581
14.704,28.235,88,741.75,0,-0.581
14.814,26.667,88,741.25,0,-0.581
14.93,29.412,88,749.25,0,-0.581
15.049,28.627,88,743.75,0,-0.581
15.157,27.059,88,753.25,0,-0.581
15.283,26.275,88,742.0,0,-0.581
15.406,27.451,88,752.25,0,-0.581
15.54,29.412,88,753.0,0,-0.581
15.663,29.02,88,748.5,0,-0.581
15.789,27.059,88,756.5,0,-0.581
15.91,26.667,88,749.0,0,-0.592
16.032,27.451,88,752.5,0,-0.581
16.14,27.059,88,747.0,0,-0.592
16.252,25.882,88,746.25,0,-0.592
16.369,27.451,88,754.0,0,-0.581
16.506,29.412,88,751.0,0,-0.581
16.629,28.627,88,743.25,0,-0.581
16.735,27.451,88,743.75,0,-0.581
16.87,25.882,88,743.0,0,-0.581
16.994,27.059,88,750.0,0,-0.581
17.133,29.02,88,744.25,0,-0.581
17.24,26.275,88,750.0,0,-0.581
17.387,27.843,88,749.75,0,-0.581
17.538,26.275,88,740.5,0,-0.581
17.662,26.667,88,743.25,0,-0.581
17.783,28.627,88,750.25,0,-0.581
17.907,29.412,88,743.5,0,-0.581
18.021,28.627,88,751.0,0,-0.581
18.143,27.059,88,737.75,0,-0.581
18.249,29.412,88,740.5,0,-0.581
18.391,27.843,88,740.0,0,-0.581
18.512,27.451,88,748.25,0,-0.581
18.621,26.275,88,746.75,0,-0.581
18.744,27.059,88,739.25,0,-0.581
18.852,28.627,88,745.75,0,-0.581
18.976,30.196,88,736.25,0,-0.581
19.096,29.804,88,746.0,0,-0.581
19.205,27.451,88,742.75,0,-0.581
19.327,29.412,88,749.75,0,-0.581
19.449,29.412,88,745.0,0,-0.581
19.574,27.451,88,753.5,0,-0.581
19.707,25.882,88,746.75,0,-0.581
19.821,27.059,88,752.0,0,-0.581
19.953,29.02,88,753.5,0,-0.581
20.075,29.804,88,742.75,0,-0.581
20.196,28.235,88,750.0,0,-0.581
20.336,25.882,88,746.5,0,-0.581
20.465,26.667,88,757.5,0,-0.581
20.591,28.627,88,750.0,0,-0.581
20.712,28.627,88,757.25,0,-0.581
20.834,27.059,88,761.5,0,-0.581
20.973,26.275,88,757.5,0,-0.581
21.109,27.451,88,753.75,0,-0.581
21.216,29.412,88,754.0,0,-0.581
21.354,27.059,88,753.25,0,-0.592
21.483,25.882,88,759.0,0,-0.592
21.609,27.451,88,748.5,0,-0.592
21.746,29.02,88,750.5,0,-0.581
21.852,29.02,88,751.5,0,-0.571
21.983,25.098,88,763.25,0,-0.571
22.095,42.353,88,783.25,0,-0.5
22.247,100.0,88,812.5,0,-0.296
22.377,86.275,88,876.25,0,-0.153
22.526,64.706,88,1048.5,0,-0.112
22.663,57.255,88,1179.75,0,-0.112
22.786,68.627,88,1203.0,0,-0.082
22.912,71.373,88,1161.75,2,-0.051
23.044,72.941,88,1100.5,4,-0.031
23.169,74.51,88,982.5,5,-0.01
23.293,68.235,88,910.25,6,0.01
23.438,84.706,88,782.25,7,0.01
23.609,75.294,88,940.5,8,0.01
23.721,63.922,88,1048.5,9,0.02
23.852,77.255,88,1059.0,10,0.02
23.977,64.706,88,1212.0,10,0.02
24.092,71.373,88,1289.5,11,0.02
24.2,70.196,88,1326.75,12,0.02
24.317,68.235,88,1503.25,13,0.031
24.452,69.412,88,1590.0,14,0.031
24.576,73.725,88,1658.5,15,0.041
24.72,67.059,88,1887.75,16,0.051
24.831,68.235,88,1938.25,18,0.061
24.968,73.333,88,2121.5,19,0.071
25.079,76.471,88,2263.25,20,0.082
25.206,79.216,88,2359.25,21,0.112
25.334,74.902,88,2545.0,22,0.133
25.457,74.902,88,2680.5,24,0.163
25.597,74.118,88,2849.75,25,0.194
25.706,78.431,88,3027.25,27,0.224
25.841,81.569,88,3143.5,28,0.275
25.967,78.431,88,3379.25,30,0.337
26.093,70.196,88,3572.5,32,0.306
26.227,40.784,88,3651.0,33,-0.082
26.354,11.373,88,3664.75,34,-0.479
26.492,9.02,88,3547.25,34,-0.632
26.622,8.627,88,3357.25,34,-0.673
26.744,10.98,88,3222.75,34,-0.673
26.879,11.373,88,3050.25,34,-0.673
26.992,11.765,88,2900.25,33,-0.673
27.125,12.157,88,2801.0,33,-0.632
27.235,99.608,88,2398.0,34,0.01
27.36,73.725,88,2251.0,35,0.051
27.484,76.863,88,2405.0,36,0.071
27.607,79.216,88,2387.25,37,0.112
27.735,77.255,88,2493.5,38,0.143
27.86,76.471,88,2587.5,39,0.163
27.986,78.824,88,2596.0,40,0.194
28.101,79.216,88,2698.0,40,0.224
28.219,78.431,88,2752.75,42,0.255
28.339,79.216,88,2826.75,43,0.286
28.468,80.392,88,2887.0,44,0.316
28.581,87.843,88,2994.25,45,0.357
28.707,92.549,88,3041.5,46,0.398
28.835,96.078,88,3173.0,47,0.439
28.978,92.157,88,3263.0,49,0.5
29.088,91.765,88,3350.75,50,0.541
29.208,91.373,88,3422.0,52,0.592
29.349,90.588,88,3558.0,54,0.653
29.493,92.549,88,3660.5,55,0.714
29.604,77.647,88,3704.75,57,0.541
29.713,68.235,88,3832.25,58,0.367
29.855,34.118,88,3827.25,59,-0.082
29.965,19.216,88,3802.25,59,-0.449
30.097,9.02,88,3789.25,59,-0.653
30.208,7.059,88,3646.25,59,-0.694
30.328,8.235,88,3484.25,59,-0.694
30.47,9.412,88,3298.0,59,-0.683
30.591,10.196,88,3163.0,59,-0.694
30.717,10.98,88,3034.25,59,-0.673
30.842,60.392,88,2695.75,59,-0.184
30.984,63.529,88,2741.75,59,-0.041
31.119,65.49,88,2727.5,60,0.02
31.229,64.314,88,2748.5,60,0.041
31.382,63.922,88,2785.5,61,0.061
31.539,65.882,88,2800.75,62,0.071
31.648,62.353,89,2796.25,62,0.061
31.777,55.686,89,2820.0,63,0.02
31.887,53.333,89,2871.0,63,-0.041
32.028,41.569,89,2849.25,63,-0.163
32.154,30.196,89,2863.0,63,-0.296
32.29,23.137,89,2887.5,63,-0.439
32.436,20.0,89,2884.0,64,-0.541
32.546,17.255,89,2857.0,64,-0.592
32.668,13.725,89,2867.0,64,-0.643
32.788,11.373,89,2855.75,63,-0.683
32.9,10.196,89,2851.75,63,-0.714
33.028,9.412,89,2835.0,63,-0.735
33.138,9.412,89,2836.0,63,-0.745
33.287,9.804,89,2818.75,62,-0.745
33.404,9.804,89,2818.5,62,-0.755
33.544,10.196,89,2786.75,62,-0.755
33.668,9.804,89,2796.5,62,-0.745
33.811,10.196,89,2795.0,61,-0.745
33.953,11.765,89,2763.75,61,-0.735
34.083,11.765,89,2741.0,61,-0.724
34.21,12.157,89,2752.5,61,-0.714
34.35,12.157,89,2734.75,60,-0.714
34.458,11.765,89,2754.75,60,-0.704
34.584,11.765,89,2724.25,60,-0.735
34.694,12.157,89,2684.0,60,-0.735
34.803,12.157,89,2730.0,60,-0.745
34.929,12.941,89,2702.0,60,-0.745
35.053,12.941,89,2720.75,60,-0.745
35.161,12.549,89,2691.0,60,-0.745
35.29,13.725,89,2698.25,60,-0.735
35.432,13.725,89,2699.75,59,-0.714
35.582,14.902,89,2682.0,59,-0.714
35.693,14.902,89,2671.0,59,-0.714
35.826,15.294,89,2677.5,59,-0.704
35.935,15.686,89,2668.0,59,-0.704
36.044,17.255,89,2691.25,59,-0.673
36.153,21.569,89,2698.75,59,-0.632
36.281,36.471,89,2705.25,59,-0.459
36.403,42.353,89,2698.5,59,-0.347
36.514,40.0,89,2689.75,59,-0.326
36.642,38.824,89,2709.0,60,-0.306
36.784,38.039,89,2710.0,60,-0.296
36.928,38.824,89,2744.0,60,-0.296
37.038,37.647,89,2747.75,60,-0.296
37.158,37.647,89,2740.0,61,-0.296
37.298,37.255,89,2773.75,61,-0.296
37.437,38.431,89,2769.0,61,-0.296
37.566,36.471,89,2782.5,61,-0.306
37.71,38.039,89,2807.0,62,-0.296
37.822,37.647,89,2795.5,62,-0.296
37.933,37.647,89,2806.75,62,-0.286
38.043,38.039,89,2831.0,62,-0.286
38.173,38.824,89,2838.0,62,-0.275
38.312,37.647,90,2837.0,63,-0.275
38.422,38.431,89,2845.25,63,-0.275
38.537,37.255,89,2869.5,63,-0.265
38.667,38.824,90,2859.5,63,-0.275
38.8,38.039,90,2904.75,64,-0.265
38.912,36.863,90,2903.5,64,-0.265
39.06,37.647,90,2890.5,64,-0.265
39.188,37.255,90,2906.0,64,-0.265
39.313,37.647,90,2922.0,65,-0.265
39.423,37.255,90,2947.25,65,-0.265
39.551,36.471,90,2932.75,65,-0.265
39.68,37.255,90,2949.25,65,-0.265
39.798,37.647,90,2951.75,65,-0.265
39.909,36.471,90,2982.75,66,-0.265
40.02,36.863,90,2977.75,66,-0.275
40.13,36.471,90,3000.0,66,-0.275
40.249,37.255,90,3008.25,66,-0.275
40.387,35.294,90,3031.5,66,-0.275
40.533,33.333,90,3033.5,67,-0.306
40.677,33.333,90,3023.5,67,-0.316
40.791,32.941,89,3038.5,67,-0.326
40.906,31.765,89,3060.5,67,-0.326
41.015,32.941,89,3054.5,68,-0.337
41.125,31.765,89,3068.25,68,-0.337
41.239,32.941,89,3091.5,68,-0.326
41.378,31.765,89,3078.5,68,-0.337
41.52,31.373,89,3092.25,68,-0.347
41.629,31.765,89,3102.75,69,-0.347
41.765,30.98,89,3110.75,69,-0.347
41.875,30.98,89,3141.5,69,-0.347
42.004,30.196,89,3141.75,69,-0.367
42.128,27.059,89,3131.75,69,-0.398
42.287,27.451,89,3139.0,69,-0.408
42.407,25.882,89,3170.0,70,-0.439
42.533,24.706,89,3157.25,70,-0.459
42.642,22.353,89,3163.5,70,-0.479
42.764,21.569,89,3187.25,70,-0.51
42.903,17.255,89,3181.25,70,-0.561
43.06,14.118,89,3157.75,70,-0.643
43.199,10.588,89,3143.0,70,-0.714
43.311,8.627,89,3169.75,70,-0.745
43.445,9.02,89,3156.5,70,-0.755
43.587,9.02,89,3157.5,69,-0.755
43.722,8.627,89,3125.0,69,-0.755
43.841,9.02,89,3116.25,69,-0.755
43.974,9.02,89,3111.0,69,-0.755
44.115,9.804,89,3097.0,68,-0.755
44.246,9.02,89,3088.0,68,-0.745
44.374,9.412,89,3084.0,68,-0.735
44.513,9.02,89,3080.0,68,-0.735
44.636,9.412,89,3061.75,67,-0.745
44.755,10.196,89,3054.25,67,-0.755
44.896,12.549,89,3022.75,67,-0.745
45.033,12.549,89,3076.5,67,-0.735
45.146,12.941,89,3020.5,67,-0.724
45.276,12.157,89,3049.25,67,-0.735
45.384,12.157,89,3015.0,67,-0.735
45.513,11.765,90,3039.75,67,-0.735
45.639,12.157,90,3029.75,67,-0.735
45.768,11.765,90,3025.5,67,-0.745
45.885,10.98,90,3018.25,66,-0.755
46.022,10.98,90,3012.75,66,-0.755
46.164,11.373,90,3018.0,66,-0.755
46.273,11.765,90,2998.75,66,-0.745
46.414,12.549,90,3005.25,66,-0.735
46.541,14.902,90,3004.75,66,-0.714
46.653,15.686,90,2992.25,66,-0.694
46.785,16.863,90,2994.5,66,-0.663
46.908,16.863,90,2990.0,65,-0.663
47.044,15.686,90,2986.5,66,-0.663
47.169,16.078,90,2989.25,66,-0.673
47.28,15.294,90,2970.0,66,-0.673
47.409,15.294,90,2983.0,66,-0.673
47.536,15.686,90,2986.75,65,-0.673
47.647,15.686,90,2969.5,66,-0.673
47.777,15.294,90,2998.5,66,-0.673
47.904,15.294,90,2985.0,66,-0.673
48.014,14.902,90,2989.25,66,-0.673
48.124,15.294,90,2970.75,66,-0.673
48.264,15.686,90,2965.0,66,-0.673
48.381,14.118,90,2980.75,66,-0.683
48.515,13.725,90,2980.75,66,-0.683
48.645,14.118,90,2978.5,66,-0.694
48.766,12.941,90,2979.5,65,-0.704
48.904,12.549,90,2977.25,65,-0.714
49.013,11.373,90,2958.25,65,-0.745
49.141,9.02,90,2942.0,65,-0.765
49.253,10.588,90,2959.5,65,-0.765
49.39,11.373,90,2965.5,66,-0.745
49.529,11.765,90,2958.75,65,-0.735
49.637,11.373,90,2931.0,65,-0.735
49.778,11.373,90,2950.25,65,-0.735
49.903,11.765,90,2909.0,64,-0.735
50.032,11.373,90,2896.25,64,-0.735
50.158,11.765,90,2893.5,64,-0.735
50.291,11.373,90,2872.0,64,-0.724
50.417,10.98,90,2890.75,64,-0.714
50.525,11.765,90,2884.0,63,-0.714
50.671,11.373,90,2865.75,63,-0.714
50.812,11.765,90,2837.75,63,-0.704
50.949,11.373,90,2854.75,63,-0.704
51.077,11.765,90,2846.5,63,-0.704
51.2,11.373,90,2838.0,62,-0.714
51.326,11.373,90,2831.5,62,-0.714
51.435,11.373,90,2823.0,62,-0.714
51.557,11.373,90,2811.5,62,-0.714
51.666,11.373,90,2808.25,62,-0.714
51.792,11.373,90,2776.75,61,-0.714
51.935,12.157,90,2771.0,61,-0.714
52.064,11.765,90,2765.5,61,-0.714
52.201,11.765,90,2761.25,61,-0.714
52.312,11.373,90,2766.25,61,-0.714
52.438,11.765,90,2742.5,61,-0.714
52.548,11.765,90,2730.75,61,-0.714
52.672,11.765,90,2725.75,60,-0.714
52.796,12.157,90,2736.75,60,-0.714
52.906,11.765,90,2730.5,60,-0.714
53.015,11.765,90,2723.25,60,-0.714
53.141,11.765,90,2694.75,60,-0.714
53.269,11.765,90,2706.0,59,-0.714
53.389,11.765,90,2677.5,59,-0.714
53.522,11.765,90,2671.25,59,-0.714
53.63,11.765,90,2664.0,59,-0.714
53.767,12.157,90,2653.5,59,-0.714
53.896,12.157,90,2660.5,59,-0.714
54.016,12.549,90,2635.0,58,-0.714
54.125,11.373,90,2621.25,58,-0.714
54.233,11.765,90,2634.5,58,-0.714
54.359,12.157,90,2601.75,58,-0.714
54.486,12.157,90,2604.25,57,-0.714
54.633,12.549,90,2570.75,57,-0.714
54.743,12.941,90,2572.5,57,-0.714
54.862,12.549,90,2557.25,56,-0.714
54.996,12.549,89,2539.25,56,-0.714
55.144,12.941,89,2511.25,55,-0.714
55.273,13.333,89,2466.5,55,-0.714
55.395,13.333,89,2446.0,54,-0.714
55.523,13.725,89,2414.25,54,-0.724
55.632,12.549,89,2412.25,53,-0.714
55.762,13.725,89,2384.0,52,-0.714
55.88,13.725,89,2361.0,52,-0.714
56.007,13.725,89,2320.25,52,-0.714
56.122,13.725,89,2303.5,51,-0.724
56.25,13.725,89,2273.0,50,-0.724
56.398,13.725,89,2222.75,49,-0.724
56.507,13.333,89,2215.0,49,-0.724
56.634,12.157,89,2179.75,48,-0.724
56.769,12.549,89,2146.5,47,-0.735
56.896,11.373,89,2111.5,47,-0.745
57.023,11.373,89,2083.0,46,-0.745
57.131,11.373,89,2047.75,45,-0.745
57.256,10.98,89,2024.75,45,-0.755
57.393,11.373,89,1974.0,44,-0.755
57.517,11.373,89,1940.5,43,-0.755
57.656,11.373,89,1917.5,42,-0.755
