Time,Engine_Load,Engine_Speed,Vehicle_Speed,Ignition_Timing,Manifold_Relative_Pressure,Accelerator_Opening_Angle,Brake_Booster_Pressure
0.1,28.627,774.75,0,11.0,-0.571,0.0,255.106
0.446,30.196,780.25,0,12.5,-0.571,0.0,255.106
0.68,27.843,775.75,0,12.5,-0.571,0.0,255.106
0.819,30.588,779.25,0,12.0,-0.571,0.0,255.106
0.958,28.235,781.25,0,12.0,-0.571,0.0,255.106
1.096,28.235,771.0,0,12.5,-0.571,0.0,255.106
1.234,27.059,768.0,0,13.5,-0.571,0.0,255.106
1.384,29.02,764.25,0,14.0,-0.571,0.0,255.106
1.533,29.804,767.0,0,13.5,-0.571,0.0,255.106
1.698,29.804,763.25,0,14.0,-0.571,0.0,255.106
1.864,30.196,766.75,0,13.5,-0.571,0.0,255.106
2.028,28.235,766.25,0,14.0,-0.571,0.0,255.106
2.165,27.451,765.0,0,14.0,-0.571,0.0,255.106
2.311,26.667,774.0,0,13.5,-0.571,0.0,255.106
2.475,28.627,765.5,0,14.0,-0.571,0.0,255.106
2.617,30.588,772.25,0,14.0,-0.571,0.0,255.106
2.752,27.843,772.5,0,13.0,-0.571,0.0,255.106
2.905,29.02,771.75,0,13.0,-0.571,0.0,255.106
3.075,27.059,771.75,0,13.0,-0.571,0.0,255.106
3.236,27.843,772.5,0,13.5,-0.571,0.0,255.106
3.381,28.627,774.5,0,13.5,-0.571,0.0,255.106
3.55,27.451,776.0,0,13.5,-0.571,0.0,255.106
3.686,29.804,776.75,0,13.5,-0.571,0.0,255.106
3.82,28.627,770.25,0,14.0,-0.571,0.0,255.106
3.979,29.804,765.5,0,14.0,-0.571,0.0,255.106
4.117,26.667,765.25,0,14.5,-0.571,0.0,255.106
4.268,28.235,765.0,0,14.5,-0.571,0.0,255.106
4.425,27.843,760.25,0,15.0,-0.571,0.0,255.106
4.576,29.804,761.0,0,15.0,-0.571,0.0,255.106
4.73,29.804,770.75,0,14.5,-0.571,0.0,255.106
4.878,30.196,769.75,0,14.0,-0.571,0.0,255.106
5.029,28.235,767.5,0,14.0,-0.571,0.0,255.106
5.167,27.451,768.25,0,14.0,-0.571,0.0,255.106
5.327,27.059,769.0,0,14.0,-0.571,0.0,255.106
5.479,28.627,770.25,0,13.5,-0.571,0.0,255.106
5.63,30.196,757.25,0,16.0,-0.571,0.0,255.106
5.804,34.902,705.0,0,19.5,-0.541,0.0,255.106
5.946,36.471,675.0,0,19.5,-0.52,0.0,255.106
6.099,43.137,680.25,0,19.5,-0.5,0.0,255.106
6.246,42.745,704.5,0,18.0,-0.479,0.0,255.106
6.423,37.647,762.75,0,11.5,-0.459,0.0,255.106
6.588,36.863,825.5,0,8.5,-0.449,0.0,255.106
6.758,29.02,889.75,0,8.5,-0.459,0.0,255.106
6.92,24.314,956.5,0,8.5,-0.49,0.0,255.106
7.091,23.137,1000.0,0,8.5,-0.51,0.0,255.106
7.276,23.922,1001.0,0,8.5,-0.541,0.0,255.106
7.431,24.314,965.25,0,8.5,-0.561,0.0,255.106
7.576,25.49,942.0,0,8.5,-0.561,0.0,255.106
7.713,29.02,904.25,0,12.0,-0.561,0.0,255.106
7.891,30.98,887.75,0,13.5,-0.551,0.0,255.106
8.073,29.804,880.25,0,15.0,-0.551,0.0,255.106
8.22,29.412,890.25,0,14.0,-0.541,0.0,255.106
8.374,27.843,912.5,0,11.5,-0.551,0.0,255.106
8.525,27.059,920.5,0,11.5,-0.561,0.0,255.106
8.676,27.843,901.0,0,13.5,-0.561,0.0,255.106
8.826,27.059,900.0,0,13.0,-0.571,0.0,255.106
8.976,25.49,904.25,0,13.0,-0.571,0.0,255.106
9.114,25.882,901.25,0,13.5,-0.571,0.0,255.106
9.282,27.059,891.0,0,15.0,-0.571,0.0,255.106
9.446,28.235,898.25,0,14.0,-0.561,0.0,255.106
9.597,27.451,888.0,0,15.0,-0.561,0.0,255.106
9.751,25.098,890.0,0,14.5,-0.561,0.0,255.106
9.92,25.098,892.75,0,14.5,-0.561,0.0,255.106
10.061,26.275,890.25,0,15.5,-0.551,0.0,255.106
10.217,25.098,879.25,0,15.5,-0.561,0.0,255.106
10.354,23.922,872.75,0,16.0,-0.561,0.0,255.106
10.504,26.667,865.25,0,17.0,-0.571,0.0,255.106
10.64,27.059,858.75,0,14.5,-0.561,10.547,255.106
10.78,100.0,850.5,0,17.0,-0.153,32.812,255.106
10.944,47.059,1220.5,0,15.0,-0.163,0.0,255.106
11.112,13.725,1550.75,0,12.0,-0.449,0.0,255.106
11.299,11.765,1627.25,0,8.5,-0.602,0.0,255.106
11.458,13.725,1523.25,0,8.5,-0.653,0.0,255.106
11.623,16.078,1358.5,0,10.5,-0.673,0.0,255.106
11.76,18.824,1244.75,0,19.5,-0.673,0.0,255.106
11.925,23.137,1145.0,0,19.5,-0.653,0.0,255.106
12.089,23.922,1059.0,0,19.5,-0.643,0.0,255.106
12.261,26.667,991.25,0,19.5,-0.622,0.0,255.106
12.402,27.451,964.0,0,19.5,-0.612,0.0,255.106
12.546,28.627,947.0,0,19.5,-0.592,0.0,255.106
12.695,29.804,930.25,0,19.5,-0.581,0.0,255.106
12.845,28.627,944.5,0,19.5,-0.581,0.0,255.106
13.011,26.275,948.0,0,19.5,-0.581,0.0,255.106
13.166,26.275,967.5,0,18.5,-0.581,0.0,255.106
13.316,25.882,963.25,0,18.5,-0.592,0.0,255.106
13.469,26.667,968.75,0,17.5,-0.592,0.0,255.106
13.643,26.275,953.5,0,17.5,-0.602,0.0,255.106
13.783,25.882,947.75,0,18.5,-0.602,0.0,255.106
13.941,26.275,922.75,0,19.5,-0.602,0.0,255.106
14.095,26.275,906.25,0,19.5,-0.612,0.0,255.106
14.247,26.667,890.75,0,19.5,-0.602,0.0,255.106
14.403,26.275,861.25,0,19.5,-0.602,0.0,255.106
14.557,29.02,837.5,0,19.5,-0.602,0.0,255.106
14.703,28.627,819.0,0,19.5,-0.592,0.0,255.106
14.856,31.373,800.25,0,19.5,-0.581,0.0,255.106
15.009,31.373,785.25,0,19.5,-0.571,0.0,255.106
15.162,30.588,774.75,0,19.5,-0.571,0.0,255.106
15.3,29.412,766.5,0,19.5,-0.561,0.0,255.106
15.437,30.588,768.75,0,19.5,-0.561,0.0,255.106
15.594,32.157,766.75,0,19.5,-0.561,0.0,255.106
15.766,32.549,772.5,0,19.5,-0.551,0.0,255.106
15.899,31.765,779.25,0,19.5,-0.551,0.0,255.106
16.048,30.588,794.25,0,17.5,-0.541,0.0,255.106
16.199,29.804,813.25,0,15.0,-0.551,0.0,255.106
16.355,29.804,828.25,0,13.5,-0.551,0.0,255.106
16.501,28.235,838.0,0,12.5,-0.551,0.0,255.106
16.64,27.451,840.25,0,12.0,-0.561,0.0,255.106
16.793,27.451,841.25,0,13.0,-0.561,0.0,255.106
16.938,28.627,834.0,0,14.0,-0.571,0.0,255.106
17.099,27.451,823.25,0,14.5,-0.571,0.0,255.106
17.25,29.412,820.0,0,15.0,-0.571,0.0,255.106
17.42,28.627,820.25,0,14.5,-0.571,0.0,255.106
17.572,29.02,816.25,0,15.0,-0.561,0.0,255.106
17.745,29.804,815.0,0,16.0,-0.561,0.0,255.106
17.901,29.02,803.0,0,16.0,-0.561,0.0,255.106
18.068,28.235,805.0,0,15.5,-0.561,0.0,255.106
18.219,30.588,797.5,0,16.5,-0.561,0.0,255.106
18.379,30.588,800.0,0,15.0,-0.561,0.0,255.106
18.519,28.627,797.75,0,16.0,-0.561,0.0,255.106
18.655,30.196,798.25,0,15.5,-0.561,0.0,255.106
18.826,30.98,796.25,0,15.0,-0.561,0.0,255.106
18.969,28.235,792.25,0,16.0,-0.561,0.0,255.106
19.132,30.588,790.0,0,15.0,-0.561,0.0,255.106
19.302,31.373,796.5,0,15.0,-0.561,0.0,255.106
19.461,30.588,802.25,0,14.5,-0.561,0.0,255.106
19.6,28.235,804.5,0,14.0,-0.561,0.0,255.106
19.763,30.588,806.75,0,13.5,-0.561,0.0,255.106
19.935,30.588,799.75,0,14.5,-0.561,0.0,255.106
